Aacgr	Ά
aacgr	ά
Aacute	Á
aacute	á
Abreve	Ă
abreve	ă
ac	∾
acd	∿
acE	∾̳
Acirc	Â
acirc	â
acute	´
Acy	А
acy	а
AElig	Æ
aelig	æ
af	⁡
Afr	𝔄
afr	𝔞
Agr	Α
agr	α
Agrave	À
agrave	à
alefsym	ℵ
aleph	ℵ
Alpha	Α
alpha	α
Amacr	Ā
amacr	ā
amalg	⨿
amp	&
and	∧
And	⩓
andand	⩕
andd	⩜
andslope	⩘
andv	⩚
ang	∠
ange	⦤
angle	∠
angmsd	∡
angmsdaa	⦨
angmsdab	⦩
angmsdac	⦪
angmsdad	⦫
angmsdae	⦬
angmsdaf	⦭
angmsdag	⦮
angmsdah	⦯
angrt	∟
angrtvb	⊾
angrtvbd	⦝
angsph	∢
angst	Å
angzarr	⍼
Aogon	Ą
aogon	ą
Aopf	𝔸
aopf	𝕒
ap	≈
apacir	⩯
ape	≊
apE	⩰
apid	≋
apos	'
ApplyFunction	⁡
approx	≈
approxeq	≊
Aring	Å
aring	å
Ascr	𝒜
ascr	𝒶
Assign	≔
ast	*
asymp	≈
asympeq	≍
Atilde	Ã
atilde	ã
Auml	Ä
auml	ä
awconint	∳
awint	⨑
backcong	≌
backepsilon	϶
backprime	‵
backsim	∽
backsimeq	⋍
Backslash	∖
Barv	⫧
barvee	⊽
barwed	⌅
Barwed	⌆
barwedge	⌅
bbrk	⎵
bbrktbrk	⎶
bcong	≌
Bcy	Б
bcy	б
bdquo	„
becaus	∵
because	∵
bemptyv	⦰
bepsi	϶
bernou	ℬ
Bernoullis	ℬ
Beta	Β
beta	β
beth	ℶ
between	≬
Bfr	𝔅
bfr	𝔟
Bgr	Β
bgr	β
bigcap	⋂
bigcirc	◯
bigcup	⋃
bigodot	⨀
bigoplus	⨁
bigotimes	⨂
bigsqcup	⨆
bigstar	★
bigtriangledown	▽
bigtriangleup	△
biguplus	⨄
bigvee	⋁
bigwedge	⋀
bkarow	⤍
blacklozenge	⧫
blacksquare	▪
blacktriangle	▴
blacktriangledown	▾
blacktriangleleft	◂
blacktriangleright	▸
blank	␣
blk12	▒
blk14	░
blk34	▓
block	█
bne	=⃥
bnequiv	≡⃥
bnot	⌐
bNot	⫭
Bopf	𝔹
bopf	𝕓
bot	⊥
bottom	⊥
bowtie	⋈
boxbox	⧉
boxdl	┐
boxdL	╕
boxDl	╖
boxDL	╗
boxdr	┌
boxdR	╒
boxDr	╓
boxDR	╔
boxh	─
boxH	═
boxhd	┬
boxHd	╤
boxhD	╥
boxHD	╦
boxhu	┴
boxHu	╧
boxhU	╨
boxHU	╩
boxminus	⊟
boxplus	⊞
boxtimes	⊠
boxul	┘
boxuL	╛
boxUl	╜
boxUL	╝
boxur	└
boxuR	╘
boxUr	╙
boxUR	╚
boxv	│
boxV	║
boxvh	┼
boxvH	╪
boxVh	╫
boxVH	╬
boxvl	┤
boxvL	╡
boxVl	╢
boxVL	╣
boxvr	├
boxvR	╞
boxVr	╟
boxVR	╠
bprime	‵
breve	˘
brvbar	¦
Bscr	ℬ
bscr	𝒷
bsemi	⁏
bsim	∽
bsime	⋍
bsol	\
bsolb	⧅
bsolhsub	\⊂
bull	•
bullet	•
bump	≎
bumpe	≏
bumpE	⪮
Bumpeq	≎
bumpeq	≏
Cacute	Ć
cacute	ć
cap	∩
Cap	⋒
capand	⩄
capbrcup	⩉
capcap	⩋
capcup	⩇
capdot	⩀
CapitalDifferentialD	ⅅ
caps	∩︀
caret	⁁
caron	ˇ
Cayleys	ℭ
ccaps	⩍
Ccaron	Č
ccaron	č
Ccedil	Ç
ccedil	ç
Ccirc	Ĉ
ccirc	ĉ
Cconint	∰
ccups	⩌
ccupssm	⩐
Cdot	Ċ
cdot	ċ
cedil	¸
Cedilla	¸
cemptyv	⦲
cent	¢
centerdot	·
Cfr	ℭ
cfr	𝔠
CHcy	Ч
chcy	ч
check	✓
checkmark	✓
Chi	Χ
chi	χ
cir	○
circ	ˆ
circeq	≗
circlearrowleft	↺
circlearrowright	↻
circledast	⊛
circledcirc	⊚
circleddash	⊝
CircleDot	⊙
circledR	®
circledS	Ⓢ
CircleMinus	⊖
CirclePlus	⊕
CircleTimes	⊗
cire	≗
cirE	⧃
cirfnint	⨐
cirmid	⫯
cirscir	⧂
ClockwiseContourIntegral	∲
CloseCurlyDoubleQuote	”
CloseCurlyQuote	’
clubs	♣
clubsuit	♣
colon	:
Colon	∷
colone	≔
Colone	⩴
coloneq	≔
comma	,
commat	@
comp	∁
compfn	∘
complement	∁
complexes	ℂ
cong	≅
congdot	⩭
Congruent	≡
conint	∮
Conint	∯
ContourIntegral	∮
Copf	ℂ
copf	𝕔
coprod	∐
Coproduct	∐
copy	©
copysr	℗
CounterClockwiseContourIntegral	∳
crarr	↵
cross	✗
Cross	⨯
Cscr	𝒞
cscr	𝒸
csub	⫏
csube	⫑
csup	⫐
csupe	⫒
ctdot	⋯
cudarrl	⤸
cudarrr	⤵
cuepr	⋞
cuesc	⋟
cularr	↶
cularrp	⤽
cup	∪
Cup	⋓
cupbrcap	⩈
CupCap	≍
cupcap	⩆
cupcup	⩊
cupdot	⊍
cupor	⩅
cups	∪︀
curarr	↷
curarrm	⤼
curlyeqprec	⋞
curlyeqsucc	⋟
curlyvee	⋎
curlywedge	⋏
curren	¤
curvearrowleft	↶
curvearrowright	↷
cuvee	⋎
cuwed	⋏
cwconint	∲
cwint	∱
cylcty	⌭
dagger	†
Dagger	‡
daleth	ℸ
darr	↓
Darr	↡
dArr	⇓
dash	‐
dashv	⊣
Dashv	⫤
dbkarow	⤏
dblac	˝
Dcaron	Ď
dcaron	ď
Dcy	Д
dcy	д
DD	ⅅ
dd	ⅆ
ddagger	‡
ddarr	⇊
DDotrahd	⤑
ddotseq	⩷
deg	°
Del	∇
Delta	Δ
delta	δ
demptyv	⦱
dfisht	⥿
Dfr	𝔇
dfr	𝔡
Dgr	Δ
dgr	δ
dHar	⥥
dharl	⇃
dharr	⇂
DiacriticalAcute	´
DiacriticalDot	˙
DiacriticalDoubleAcute	˝
DiacriticalGrave	`
DiacriticalTilde	˜
diam	⋄
diamond	⋄
diamondsuit	♦
diams	♦
die	¨
DifferentialD	ⅆ
digamma	ϝ
disin	⋲
div	÷
divide	÷
divideontimes	⋇
divonx	⋇
DJcy	Ђ
djcy	ђ
dlcorn	⌞
dlcrop	⌍
dollar	$
Dopf	𝔻
dopf	𝕕
Dot	¨
dot	˙
DotDot	 ⃜
doteq	≐
doteqdot	≑
DotEqual	≐
dotminus	∸
dotplus	∔
dotsquare	⊡
doublebarwedge	⌆
DoubleContourIntegral	∯
DoubleDot	¨
DoubleDownArrow	⇓
DoubleLeftArrow	⇐
DoubleLeftRightArrow	⇔
DoubleLeftTee	⫤
DoubleLongLeftArrow	⟸
DoubleLongLeftRightArrow	⟺
DoubleLongRightArrow	⟹
DoubleRightArrow	⇒
DoubleRightTee	⊨
DoubleUpArrow	⇑
DoubleUpDownArrow	⇕
DoubleVerticalBar	∥
downarrow	↓
Downarrow	⇓
DownArrowBar	⤓
DownArrowUpArrow	⇵
DownBreve	 ̑
downdownarrows	⇊
downharpoonleft	⇃
downharpoonright	⇂
DownLeftRightVector	⥐
DownLeftTeeVector	⥞
DownLeftVector	↽
DownLeftVectorBar	⥖
DownRightTeeVector	⥟
DownRightVector	⇁
DownRightVectorBar	⥗
DownTee	⊤
DownTeeArrow	↧
drbkarow	⤐
drcorn	⌟
drcrop	⌌
Dscr	𝒟
dscr	𝒹
DScy	Ѕ
dscy	ѕ
dsol	⧶
Dstrok	Đ
dstrok	đ
dtdot	⋱
dtri	▿
dtrif	▾
duarr	⇵
duhar	⥯
dwangle	⦦
DZcy	Џ
dzcy	џ
dzigrarr	⟿
Eacgr	Έ
eacgr	έ
Eacute	É
eacute	é
easter	⩮
Ecaron	Ě
ecaron	ě
ecir	≖
Ecirc	Ê
ecirc	ê
ecolon	≕
Ecy	Э
ecy	э
eDDot	⩷
Edot	Ė
edot	ė
eDot	≑
ee	ⅇ
EEacgr	Ή
eeacgr	ή
EEgr	Η
eegr	η
efDot	≒
Efr	𝔈
efr	𝔢
eg	⪚
Egr	Ε
egr	ε
Egrave	È
egrave	è
egs	⪖
egsdot	⪘
el	⪙
Element	∈
elinters	⏧
ell	ℓ
els	⪕
elsdot	⪗
Emacr	Ē
emacr	ē
empty	∅
emptyset	∅
EmptySmallSquare	◻
emptyv	∅
EmptyVerySmallSquare	▫
emsp	 
emsp13	 
emsp14	 
ENG	Ŋ
eng	ŋ
ensp	 
Eogon	Ę
eogon	ę
Eopf	𝔼
eopf	𝕖
epar	⋕
eparsl	⧣
eplus	⩱
epsi	ϵ
Epsilon	Ε
epsilon	ε
epsiv	ε
eqcirc	≖
eqcolon	≕
eqsim	≂
eqslantgtr	⪖
eqslantless	⪕
Equal	⩵
equals	=
EqualTilde	≂
equest	≟
Equilibrium	⇌
equiv	≡
equivDD	⩸
eqvparsl	⧥
erarr	⥱
erDot	≓
escr	ℯ
Escr	ℰ
esdot	≐
esim	≂
Esim	⩳
Eta	Η
eta	η
ETH	Ð
eth	ð
Euml	Ë
euml	ë
euro	€
excl	!
exist	∃
Exists	∃
expectation	ℰ
exponentiale	ⅇ
fallingdotseq	≒
Fcy	Ф
fcy	ф
female	♀
ffilig	ﬃ
fflig	ﬀ
ffllig	ﬄ
Ffr	𝔉
ffr	𝔣
filig	ﬁ
FilledSmallSquare	◼
FilledVerySmallSquare	▪
fjlig	fj
flat	♭
fllig	ﬂ
fltns	▱
fnof	ƒ
Fopf	𝔽
fopf	𝕗
forall	∀
fork	⋔
forkv	⫙
Fouriertrf	ℱ
fpartint	⨍
frac12	½
frac13	⅓
frac14	¼
frac15	⅕
frac16	⅙
frac18	⅛
frac23	⅔
frac25	⅖
frac34	¾
frac35	⅗
frac38	⅜
frac45	⅘
frac56	⅚
frac58	⅝
frac78	⅞
frasl	⁄
frown	⌢
Fscr	ℱ
fscr	𝒻
gacute	ǵ
Gamma	Γ
gamma	γ
Gammad	Ϝ
gammad	ϝ
gap	⪆
Gbreve	Ğ
gbreve	ğ
Gcedil	Ģ
Gcirc	Ĝ
gcirc	ĝ
Gcy	Г
gcy	г
Gdot	Ġ
gdot	ġ
ge	≥
gE	≧
gel	⋛
gEl	⪌
geq	≥
geqq	≧
geqslant	⩾
ges	⩾
gescc	⪩
gesdot	⪀
gesdoto	⪂
gesdotol	⪄
gesl	⋛︀
gesles	⪔
Gfr	𝔊
gfr	𝔤
gg	≫
Gg	⋙
ggg	⋙
Ggr	Γ
ggr	γ
gimel	ℷ
GJcy	Ѓ
gjcy	ѓ
gl	≷
gla	⪥
glE	⪒
glj	⪤
gnap	⪊
gnapprox	⪊
gnE	≩
gne	⪈
gneq	⪈
gneqq	≩
gnsim	⋧
Gopf	𝔾
gopf	𝕘
grave	`
GreaterEqual	≥
GreaterEqualLess	⋛
GreaterFullEqual	≧
GreaterGreater	⪢
GreaterLess	≷
GreaterSlantEqual	⩾
GreaterTilde	≳
gscr	ℊ
Gscr	𝒢
gsim	≳
gsime	⪎
gsiml	⪐
gt	>
Gt	≫
gtcc	⪧
gtcir	⩺
gtdot	⋗
gtlPar	⦕
gtquest	⩼
gtrapprox	⪆
gtrarr	⥸
gtrdot	⋗
gtreqless	⋛
gtreqqless	⪌
gtrless	≷
gtrsim	≳
gvertneqq	≩︀
gvnE	≩︀
Hacek	ˇ
hairsp	 
half	½
hamilt	ℋ
HARDcy	Ъ
hardcy	ъ
harr	↔
hArr	⇔
harrcir	⥈
harrw	↭
Hat	^
hbar	ℏ
Hcirc	Ĥ
hcirc	ĥ
hearts	♥
heartsuit	♥
hellip	…
hercon	⊹
Hfr	ℌ
hfr	𝔥
HilbertSpace	ℋ
hksearow	⤥
hkswarow	⤦
hoarr	⇿
homtht	∻
hookleftarrow	↩
hookrightarrow	↪
Hopf	ℍ
hopf	𝕙
horbar	―
HorizontalLine	─
Hscr	ℋ
hscr	𝒽
hslash	ℏ
Hstrok	Ħ
hstrok	ħ
HumpDownHump	≎
HumpEqual	≏
hybull	⁃
hyphen	‐
Iacgr	Ί
iacgr	ί
Iacute	Í
iacute	í
ic	⁣
Icirc	Î
icirc	î
Icy	И
icy	и
idiagr	ΐ
Idigr	Ϊ
idigr	ϊ
Idot	İ
IEcy	Е
iecy	е
iexcl	¡
iff	⇔
Ifr	ℑ
ifr	𝔦
Igr	Ι
igr	ι
Igrave	Ì
igrave	ì
ii	ⅈ
iiiint	⨌
iiint	∭
iinfin	⧜
iiota	℩
IJlig	Ĳ
ijlig	ĳ
Im	ℑ
Imacr	Ī
imacr	ī
image	ℑ
ImaginaryI	ⅈ
imagline	ℐ
imagpart	ℑ
imath	ı
imof	⊷
imped	Ƶ
Implies	⇒
in	∈
incare	℅
infin	∞
infintie	⧝
inodot	ı
int	∫
Int	∬
intcal	⊺
integers	ℤ
Integral	∫
intercal	⊺
Intersection	⋂
intlarhk	⨗
intprod	⨼
InvisibleComma	⁣
InvisibleTimes	⁢
IOcy	Ё
iocy	ё
Iogon	Į
iogon	į
Iopf	𝕀
iopf	𝕚
Iota	Ι
iota	ι
iprod	⨼
iquest	¿
Iscr	ℐ
iscr	𝒾
isin	∈
isindot	⋵
isinE	⋹
isins	⋴
isinsv	⋳
isinv	∈
it	⁢
Itilde	Ĩ
itilde	ĩ
Iukcy	І
iukcy	і
Iuml	Ï
iuml	ï
Jcirc	Ĵ
jcirc	ĵ
Jcy	Й
jcy	й
Jfr	𝔍
jfr	𝔧
jmath	ȷ
Jopf	𝕁
jopf	𝕛
Jscr	𝒥
jscr	𝒿
Jsercy	Ј
jsercy	ј
Jukcy	Є
jukcy	є
Kappa	Κ
kappa	κ
kappav	ϰ
Kcedil	Ķ
kcedil	ķ
Kcy	К
kcy	к
Kfr	𝔎
kfr	𝔨
Kgr	Κ
kgr	κ
kgreen	ĸ
KHcy	Х
khcy	х
KHgr	Χ
khgr	χ
KJcy	Ќ
kjcy	ќ
Kopf	𝕂
kopf	𝕜
Kscr	𝒦
kscr	𝓀
lAarr	⇚
Lacute	Ĺ
lacute	ĺ
laemptyv	⦴
lagran	ℒ
Lambda	Λ
lambda	λ
lang	⟨
Lang	⟪
langd	⦑
langle	⟨
lap	⪅
Laplacetrf	ℒ
laquo	«
larr	←
Larr	↞
lArr	⇐
larrb	⇤
larrbfs	⤟
larrfs	⤝
larrhk	↩
larrlp	↫
larrpl	⤹
larrsim	⥳
larrtl	↢
lat	⪫
latail	⤙
lAtail	⤛
late	⪭
lates	⪭︀
lbarr	⤌
lBarr	⤎
lbbrk	❲
lbrace	{
lbrack	[
lbrke	⦋
lbrksld	⦏
lbrkslu	⦍
Lcaron	Ľ
lcaron	ľ
Lcedil	Ļ
lcedil	ļ
lceil	⌈
lcub	{
Lcy	Л
lcy	л
ldca	⤶
ldquo	“
ldquor	„
ldrdhar	⥧
ldrushar	⥋
ldsh	↲
le	≤
lE	≦
LeftAngleBracket	⟨
leftarrow	←
Leftarrow	⇐
LeftArrowBar	⇤
LeftArrowRightArrow	⇆
leftarrowtail	↢
LeftCeiling	⌈
LeftDoubleBracket	⟦
LeftDownTeeVector	⥡
LeftDownVector	⇃
LeftDownVectorBar	⥙
LeftFloor	⌊
leftharpoondown	↽
leftharpoonup	↼
leftleftarrows	⇇
leftrightarrow	↔
Leftrightarrow	⇔
leftrightarrows	⇆
leftrightharpoons	⇋
leftrightsquigarrow	↭
LeftRightVector	⥎
LeftTee	⊣
LeftTeeArrow	↤
LeftTeeVector	⥚
leftthreetimes	⋋
LeftTriangle	⊲
LeftTriangleBar	⧏
LeftTriangleEqual	⊴
LeftUpDownVector	⥑
LeftUpTeeVector	⥠
LeftUpVector	↿
LeftUpVectorBar	⥘
LeftVector	↼
LeftVectorBar	⥒
leg	⋚
